Year,Rd,Pk,Tm,Player,Age,Pos,Born,College,G/NBA,MP/NBA,PPG/NBA,RPG/NBA,APG/NBA,SPG/NBA,BPG/NBA,FG%/NBA,2P%/NBA,3P%/NBA,FT%/NBA,NBA WS,NBA WS/48,NBA PER,G/C,GS/C,MPG/C,FGM/C,FGA/C,FG%/C,2PM/C,2PA/C,2P%/C,3PM/C,3PA/C,3P%/C,FTM/C,FTA/C,FT%/C,ORPG/C,DRPG/C,RPG/C,APG/C,SPG/C,BPG/C,TOPG/C,FPG/C,PPG/C,EFG%/C,YRS/C,WS/C,WSPY/C,PER/C,SOS,BF%,Hand Length (Inches),Hand Width (Inches),Height (No Shoes),Height (Shoes),Standing Reach,Weight (lbs),Wingspan
2008,1,5,MEM,Kevin Love,19.297,F,us,"University of California, Los Angeles",617,32.4,18.4,11.4,2.3,0.7,0.5,0.444,0.478,0.368,0.824,75.4,0.181,22.01,39,38,29.6,5.8,10.4,0.559,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7,10.6,1.9,0.7,1.4,2,1.9,17.5,59.5,1,11.3,11.30,,7.71,0.13,,,6.78,6.95,8.1,255,6.1
2008,1,2,MIA,Michael Beasley,19.173,F,us,Kansas State University,545,23.2,12.6,4.7,1.3,0.6,0.5,0.462,0.478,0.348,0.756,14,0.053,15.6,33,33,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,4,8.4,12.4,1.2,1.3,1.6,2.9,2.6,26.2,56.3,1,10.7,10.70,,7.79,0.08,,,6.7,6.825,8.11,239,7
2012,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,371,34.6,22.8,10.2,1.8,1.3,2.3,0.518,0.531,0.305,0.79,55.5,0.208,26.9,40,40,32,5.3,8.4,0.623,5.2,7.9,0.653,0.1,0.5,0.15,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,14.2,62.8,1,9.9,9.90,35.1,7.93,0.08,9,8.5,6.93,6.105,9,221.8,7.5
2012,1,21,BOS,Jared Sullinger,20.121,F,us,Ohio State University,269,24.3,10.8,7.5,1.8,0.7,0.6,0.436,0.476,0.272,0.723,15.3,0.113,16.2,74,72,31,6.1,11.5,0.53,5.8,10.8,0.541,0.3,0.7,0.365,4.9,6.7,0.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,54.1,2,16.2,8.10,30.3,8.73,0.11,9.25,9.75,6.78,6.9,8.95,268.2,7.1
2015,1,20,TOR,Delon Wright,23.065,G,us,University of Utah,83,15.6,6.1,2.1,1.9,0.8,0.4,0.464,0.509,0.343,0.814,3.8,0.139,17,68,68,34.8,5,9.3,0.535,4.4,7.5,0.594,0.6,1.9,0.299,4.5,5.5,0.814,1.1,4.7,5.8,5.2,2.3,1.1,2.2,1.6,15,56.5,2,15.8,7.90,28.1,6.82,0.07,8,8.5,6.43,6.55,8.55,181.4,6.7
2009,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,497,35.1,21.5,9.3,4.2,1,0.6,0.513,0.523,0.313,0.68,64.8,0.178,22.65,68,63,30.9,7.1,11.5,0.618,7.1,11.4,0.622,0,0.1,0.3,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1,2.8,2.5,18.8,62,2,15.2,7.60,,7.37,0.08,,,6.85,6.1,8.9,248.4,6.1
2009,2,37,SAS,DeJuan Blair,20.069,F-C,us,University of Pittsburgh,424,16.6,6.8,5.1,0.8,0.7,0.3,0.524,0.526,0,0.608,19,0.129,16.5,72,71,26.6,5.5,9.6,0.568,5.5,9.6,0.568,0,0,,2.7,4.3,0.614,4.7,6,10.7,1.1,1.6,1,1.6,2.8,13.6,56.8,2,15,7.50,,8.22,0.12,,,6.53,6.65,8.105,276.6,7.2
2009,2,58,BOS,Lester Hudson,24.328,G,us,University of Tennessee at Martin,57,10.4,4.7,1.4,1.2,0.6,0.1,0.375,0.441,0.277,0.806,0.2,0.016,13,65,64,36.5,9.3,20.4,0.456,5.8,10.8,0.53,3.5,9.5,0.372,4.4,5.2,0.858,2.2,5.7,7.9,4.4,2.6,0.6,3.6,2.7,26.6,54.3,2,14.5,7.25,,-5.64,0.03,,,5.12,6.1,8.25,196,6.8
2009,1,4,SAC,Tyreke Evans,19.284,G-F,us,University of Memphis,513,32.1,16.4,4.8,5.1,1.3,0.4,0.446,0.474,0.315,0.759,27.9,0.081,17.6,37,35,29,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,48.9,1,7.2,7.20,,4.63,0.07,,,6.4,6.525,8.8,220.6,6.1
2009,1,13,IND,Tyler Hansbrough,23.24,F,us,University of North Carolina,428,16.9,6.7,4.2,0.4,0.5,0.2,0.439,0.442,0.136,0.738,20.2,0.134,14.8,142,141,30.9,6.6,12.3,0.536,6.5,12.1,0.541,0.1,0.3,0.316,6.9,8.7,0.791,3.4,5.2,8.6,1.1,1.3,0.5,2.1,2.5,20.2,53.9,4,28.5,7.13,,8.39,0.09,,,6.83,6.95,8.1,234.2,6.1
